CORP_KEY|CORP_REP_KEY|BEN_OWN_KEY|DOCDUEDATE|DOCRECEIVEDDATE|DOCEXPIRYDATE|DOCDELFLG|DOCREMARKS|SCANNED|DOCCODE|DOCDESCR|REFERENCENUMBER|ISMANDATORY|SCANREQUIRED|ROLE|DOCTYPECODE|DOCTYPEDESCR|MINDOCSREQD|WAIVEDORDEFEREDDATE|COUNTRYOFISSUE|PLACEOFISSUE|DOCISSUEDATE|IDENTIFICATIONTYPE|CORE_CUST_ID|IS_DOCUMENT_VERIFIED|BANK_ID
C000000001|C000000001|||21-Dec-2008|30-12-2099||||COMREG||Id: 20259/059/60 PanNo: 301136581||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000029|C000000029|||22-Dec-2004|30-12-2099||||COMREG||Id: 4103/059 PanNo: 300045572||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000044|C000000044|||04-Dec-2009|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000105|C000000105|||26-Apr-2010|30-12-2099||||COMREG||Id: 15888/2057/058 PanNo: 300325694||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000123|C000000123|||28-Dec-2004|30-12-2099||||COMREG||Id: 238/052/53 PanNo: 0||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000125|C000000125|||28-Dec-2004|30-12-2099||||COMREG||Id: 500058017 PanNo: 500058017||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000135|C000000135|||15-Dec-2009|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 301280758||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000137|C000000137|||04-Jan-2005|30-12-2099||||COMREG||Id: 62/048/49 PanNo: 500060418||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000139|C000000139|||06-Jan-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000147|C000000147|||10-Mar-2005|30-12-2099||||COMREG||Id: 32000/060/62 PanNo: 301768902||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000150|C000000150|||03-Dec-2009|30-12-2099||||COMREG||Id: 32192/061/62 PanNo: 301788548||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000170|C000000170|||13-Jan-2005|30-12-2099||||COMREG||Id: 800/058/59 PanNo: 300283349||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000171|C000000171|||03-Dec-2009|30-12-2099||||COMREG||Id: 67202/061/062 PanNo: 500018787||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000197|C000000197|||27-Jan-2005|30-12-2099||||DEF_DOC_TYPE||Id: 500092677 PanNo: 500092677||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000199|C000000199|||28-Jan-2005|30-12-2099||||COMREG||Id: 72/1992/2020 PanNo: 300045710||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000219|C000000219|||09-Feb-2005|30-12-2099||||COMREG||Id: 42903 PanNo: 600572402||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000223|C000000223|||04-Dec-2009|30-12-2099||||GOVT||Id: 624/051/052 PanNo: 300731790||||GOVT||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000240|C000000240|||07-Feb-2005|30-12-2099||||DEF_DOC_TYPE||Id: 4432/286 PanNo: 500103007||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000241|C000000241|||05-Jul-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000246|C000000246|||04-Dec-2009|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000254|C000000254|||21-Feb-2005|30-12-2099||||COMREG||Id: 8/042 PanNo: 500075236||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000262|C000000262|||07-Sep-2006|30-12-2099||||DEF_DOC_TYPE||Id: 1449 PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000284|C000000284|||10-Mar-2005|30-12-2099||||COMREG||Id: 30660/066-62 PanNo: 301743107||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
